a,b,c
10,0,0
20,0,0
30,0,0
40,0,0
50,0,0
60,0,0
70,0,0
80,0,0
90,0,0
100,0,0
200,1,0
300,1,0
400,2,0
500,3,0
600,3,0
700,4,0
800,5,0
900,5,0
1000,6,0
2000,12,0
3000,18,1
4000,25,2
5000,31,4
6000,37,6
7000,44,8
8000,50,11
9000,56,14
10000,62,17
20000,126,70
30000,189,158
40000,252,281
50000,316,439
60000,380,633
70000,442,863
80000,505,1127
90000,569,1427
100000,631,1761
110000,694,2138
120000,757,2540
130000,822,3038
140000,887,3472
150000,950,3779
160000,1017,4535
170000,1080,5125
180000,1145,5739
190000,1208,6387
200000,1265,7045
